,sentence,label,type
97,our trepidation increased as she went on ,0,train
98,not a word of it seemed to be true  and the style in which it was written was execrable ,0,test
99, poetry ,0,test
100,poetry  ,0,train
101,we cried  impatiently ,0,val
102, read us poetry  ,0,test
103,i cannot describe the desolation which fell upon us as she opened a little volume and mouthed out the verbose  sentimental foolery which it contained ,0,test
104, it must have been written by a woman   one of us urged ,0,train
105,but no ,0,train
106,she told us that it was written by a young man  one of the most famous poets of the day ,0,val
107,i leave you to imagine what the shock of the discovery was ,0,train
108,though we all cried and begged her to read no more  she persisted and read us extracts from the lives of the lord chancellors ,0,test
109,when she had finished  jane  the eldest and wisest of us  rose to her feet and said that she for one was not convinced ,0,val
110, why   she asked   if men write such rubbish as this  should our mothers have wasted their youth in bringing them into the world  ,0,test
111,we were all silent  and  in the silence  poor poll could be heard sobbing out   why  why did my father teach me to read  ,0,train
112,clorinda was the first to come to her senses ,0,val
113, it s all our fault   she said ,0,val
114, every one of us knows how to read ,0,test
115,but no one  save poll  has ever taken the trouble to do it ,0,train
116,i  for one  have taken it for granted that it was a woman s duty to spend her youth in bearing children ,0,train
117,i venerated my mother for bearing ten  still more my grandmother for bearing fifteen  it was  i confess  my own ambition to bear twenty ,0,test
118,we have gone on all these ages supposing that men were equally industrious  and that their works were of equal merit ,0,test
119,while we have borne the children  they  we supposed  have borne the books and the pictures ,0,train
120,we have populated the world ,0,train
121,they have civilized it ,0,train
122,but now that we can read  what prevents us from judging the results ,0,test
123,before we bring another child into the world we must swear that we will find out what the world is like  ,0,train
124,so we made ourselves into a society for asking questions ,0,train
125,one of us was to visit a man of war  another was to hide herself in a scholar s study  another was to attend a meeting of business men  while all were to read books  look at pictures  go to concerts  keep our eyes open in the streets  and ask questions perpetually ,0,train
126,we were very young ,0,train
127,you can judge of our simplicity when i tell you that before parting that night we agreed that the objects of life were to produce good people and good books ,0,val
128,our questions were to be directed to finding out how far these objects were now attained by men ,0,test
129,we vowed solemnly that we would not bear a single child until we were satisfied ,0,train
130,off we went then  some to the british museum  others to the king s navy  some to oxford  others to cambridge  we visited the royal academy and the tate  heard modern music in concert rooms  went to the law courts  and saw new plays ,0,val
131,no one dined out without asking her partner certain questions and carefully noting his replies ,0,train
132,at intervals we met together and compared our observations ,0,val
133,oh  those were merry meetings ,0,train
134,never have i laughed so much as i did when rose read her notes upon  honour  and described how she had dressed herself as an  thiopian prince and gone aboard one of his majesty s ships ,0,train
135,discovering the hoax  the captain visited her  now disguised as a private gentleman  and demanded that honour should be satisfied ,0,val
136, but how  ,0,test
137,she asked ,0,test
138, how  ,0,val
139,he bellowed ,0,val
140, with the cane of course  ,0,val
141,seeing that he was beside himself with rage and expecting that her last moment had come  she bent over and received  to her amazement  six light taps upon the behind ,0,train
142, the honour of the british navy is avenged  ,0,val
143,he cried  and  raising herself  she saw him with the sweat pouring down his face holding out a trembling right hand ,0,train
144, away  ,0,train
145,she exclaimed  striking an attitude and imitating the ferocity of his own expression   my honour has still to be satisfied  ,0,test
146, spoken like a gentleman  ,0,train
147,he returned  and fell into profound thought ,0,train
148, if six strokes avenge the honour of the king s navy   he mused   how many avenge the honour of a private gentleman  ,0,test
149,he said he would prefer to lay the case before his brother officers ,0,train
150,she replied haughtily that she could not wait ,0,train
151,he praised her sensibility ,0,train
152, let me see   he cried suddenly   did your father keep a carriage  ,0,train
153, no   she said ,0,test
154, or a riding horse  ,0,val
155, we had a donkey   she bethought her   which drew the mowing machine  ,0,val
156,at this his face lighted ,0,train
157, my mother s name      she added ,0,test
158, for god s sake  man  don t mention your mother s name  ,0,test
159,he shrieked  trembling like an aspen and flushing to the roots of his hair  and it was ten minutes at least before she could induce him to proceed ,0,val
160,at length he decreed that if she gave him four strokes and a half in the small of the back at a spot indicated by himself  the half conceded  he said  in recognition of the fact that her great grandmother s uncle was killed at trafalgar  it was his opinion that her honour would be as good as new ,0,test
161,this was done  they retired to a restaurant  drank two bottles of wine for which he insisted upon paying  and parted with protestations of eternal friendship ,0,train
162,then we had fanny s account of her visit to the law courts ,0,train
163,at her first visit she had come to the conclusion that the judges were either made of wood or were impersonated by large animals resembling man who had been trained to move with extreme dignity  mumble and nod their heads ,0,train
164,to test her theory she had liberated a handkerchief of bluebottles at the critical moment of a trial  but was unable to judge whether the creatures gave signs of humanity for the buzzing of the flies induced so sound a sleep that she only woke in time to see the prisoners led into the cells below ,0,train
165,but from the evidence she brought we voted that it is unfair to suppose that the judges are men ,0,test
166,helen went to the royal academy  but when asked to deliver her report upon the pictures she began to recite from a pale blue volume   o ,0,val
167,for the touch of a vanished hand and the sound of a voice that is still ,0,train
168,home is the hunter  home from the hill ,0,train
169,he gave his bridle reins a shake ,0,train
170,love is sweet  love is brief ,0,train
171,spring  the fair spring  is the year s pleasant king ,0,train
172,o ,0,test
173,to be in england now that april s there ,0,train
174,men must work and women must weep ,0,test
175,the path of duty is the way to glory    we could listen to no more of this gibberish ,0,train
176, we want no more poetry  ,0,test
177,we cried ,0,val
178, daughters of england  ,0,test
179,she began  but here we pulled her down  a vase of water getting spilt over her in the scuffle ,0,train
180, thank god  ,0,train
181,she exclaimed  shaking herself like a dog ,0,train
182, now i ll roll on the carpet and see if i can t brush off what remains of the union jack ,0,train
183,then perhaps    here she rolled energetically ,0,train
184,getting up she began to explain to us what modern pictures are like when castalia stopped her ,0,train
185, what is the average size of a picture  ,0,train
186,she asked ,0,val
187, perhaps two feet by two and a half   she said ,0,test
188,castalia made notes while helen spoke  and when she had done  and we were trying not to meet each other s eyes  rose and said   at your wish i spent last week at oxbridge  disguised as a charwoman ,0,train
189,i thus had access to the rooms of several professors and will now attempt to give you some idea  only   she broke off   i can t think how to do it ,0,train
190,it s all so queer ,0,train
191,these professors   she went on   live in large houses built round grass plots each in a kind of cell by himself ,0,train
192,yet they have every convenience and comfort ,0,test
193,you have only to press a button or light a little lamp ,0,train
194,their papers are beautifully filed ,0,train
195,books abound ,0,train
196,there are no children or animals  save half a dozen stray cats and one aged bullfinch  a cock ,0,train
197,i remember   she broke off   an aunt of mine who lived at dulwich and kept cactuses ,0,train
198,you reached the conservatory through the double drawing room  and there  on the hot pipes  were dozens of them  ugly  squat  bristly little plants each in a separate pot ,0,train
199,once in a hundred years the aloe flowered  so my aunt said ,0,train
200,but she died before that happened    we told her to keep to the point ,0,test
201, well   she resumed   when professor hobkin was out  i examined his life work  an edition of sappho ,0,train
202,it s a queer looking book  six or seven inches thick  not all by sappho ,0,train
203,oh  no ,0,val
204,most of it is a defence of sappho s chastity  which some german had denied  and i can assure you the passion with which these two gentlemen argued  the learning they displayed  the prodigious ingenuity with which they disputed the use of some implement which looked to me for all the world like a hairpin astounded me  especially when the door opened and professor hobkin himself appeared ,0,train
205,a very nice  mild  old gentleman  but what could  he  know about chastity  ,0,test
206,we misunderstood her ,0,train
207, no  no   she protested   he s the soul of honour i m sure  not that he resembles rose s sea captain in the least ,0,test
208,i was thinking rather of my aunt s cactuses ,0,train
209,what could  they  know about chastity  ,0,train
210,again we told her not to wander from the point   did the oxbridge professors help to produce good people and good books   the objects of life ,0,train
211, there  ,0,train
212,she exclaimed ,0,train
213, it never struck me to ask ,0,train
214,it never occurred to me that they could possibly produce anything  ,0,val
215, i believe   said sue   that you made some mistake ,0,train
216,probably professor hobkin was a gyn cologist ,0,test
217,a scholar is a very different sort of man ,0,train
218,a scholar is overflowing with humour and invention  perhaps addicted to wine  but what of that   a delightful companion  generous  subtle  imaginative  as stands to reason ,0,train
219,for he spends his life in company with the finest human beings that have ever existed  ,0,train
220, hum   said castalia ,0,val
221, perhaps i d better go back and try again  ,0,train
222,some three months later it happened that i was sitting alone when castalia entered ,0,train
223,i don t know what it was in the look of her that so moved me  but i could not restrain myself  and  dashing across the room  i clasped her in my arms ,0,train
224,not only was she very beautiful  she seemed also in the highest spirits ,0,train
225, how happy you look  ,0,test
226,i exclaimed  as she sat down ,0,val
227, i ve been at oxbridge   she said ,0,train
228, asking questions  ,0,train
229, answering them   she replied ,0,train
230, you have not broken our vow  ,0,train
231,i said anxiously  noticing something about her figure ,0,train
232, oh  the vow   she said casually ,0,train
233, i m going to have a baby  if that s what you mean ,0,train
234,you can t imagine   she burst out   how exciting  how beautiful  how satisfying      what is  ,0,test
235,i asked ,0,train
236, to  to  answer questions   she replied in some confusion ,0,train
237,whereupon she told me the whole of her story ,0,val
238,but in the middle of an account which interested and excited me more than anything i had ever heard  she gave the strangest cry  half whoop  half holloa     chastity ,0,test
239,chastity ,0,train
240,where s my chastity  ,0,train
241,she cried ,0,train
242, help ho ,0,val
243,the scent bottle  ,0,val
244,there was nothing in the room but a cruet containing mustard  which i was about to administer when she recovered her composure ,0,train
245, you should have thought of that three months ago   i said severely ,0,test
246, true   she replied ,0,test
247, there s not much good in thinking of it now ,0,train
248,it was unfortunate  by the way  that my mother had me called castalia  ,0,train
249, oh  castalia  your mother    i was beginning when she reached for the mustard pot ,0,val
250, no  no  no   she said  shaking her head ,0,train
251, if you d been a chaste woman yourself you would have screamed at the sight of me  instead of which you rushed across the room and took me in your arms ,0,train
252,no  cassandra ,0,train
253,we are neither of us chaste  ,0,train
254,so we went on talking ,0,train
255,meanwhile the room was filling up  for it was the day appointed to discuss the results of our observations ,0,train
256,everyone  i thought  felt as i did about castalia ,0,test
257,they kissed her and said how glad they were to see her again ,0,train
258,at length  when we were all assembled  jane rose and said that it was time to begin ,0,train
259,she began by saying that we had now asked questions for over five years  and that though the results were bound to be inconclusive  here castalia nudged me and whispered that she was not so sure about that ,0,test
260,then she got up  and  interrupting jane in the middle of a sentence  said    before you say any more  i want to know  am i to stay in the room ,0,train
261,because   she added   i have to confess that i am an impure woman  ,0,test
262,everyone looked at her in astonishment ,0,val
263, you are going to have a baby  ,0,train
264,asked jane ,0,train
265,she nodded her head ,0,train
266,it was extraordinary to see the different expressions on their faces ,0,test
267,a sort of hum went through the room  in which i could catch the words  impure    baby    castalia   and so on ,0,train
268,jane  who was herself considerably moved  put it to us    shall she go ,0,train
269,is she impure  ,0,train
270,such a roar filled the room as might have been heard in the street outside ,0,val
271, no ,0,train
272,no ,0,test
273,no ,0,train
274,let her stay ,0,train
275,impure ,0,test
276,fiddlesticks  ,0,test
277,yet i fancied that some of the youngest  girls of nineteen or twenty  held back as if overcome with shyness ,0,val
278,then we all came about her and began asking questions  and at last i saw one of the youngest  who had kept in the background  approach shyly and say to her    what is chastity then ,0,test
279,i mean is it good  or is it bad  or is it nothing at all  ,0,train
280,she replied so low that i could not catch what she said ,0,train
281, you know i was shocked   said another   for at least ten minutes  ,0,train
282, in my opinion   said poll  who was growing crusty from always reading in the london library   chastity is nothing but ignorance  a most discreditable state of mind ,0,test
283,we should admit only the unchaste to our society ,0,train
284,i vote that castalia shall be our president  ,0,test
285,this was violently disputed ,0,val
286, it is as unfair to brand women with chastity as with unchastity   said poll ,0,train
287, some of us haven t the opportunity either ,0,test
288,moreover  i don t believe cassy herself maintains that she acted as she did from a pure love of knowledge  ,0,train
289, he is only twenty one and divinely beautiful   said cassy  with a ravishing gesture ,0,train
290, i move   said helen   that no one be allowed to talk of chastity or unchastity save those who are in love  ,0,test
291, oh  bother   said judith  who had been enquiring into scientific matters   i m not in love and i m longing to explain my measures for dispensing with prostitutes and fertilizing virgins by act of parliament  ,0,train
292,she went on to tell us of an invention of hers to be erected at tube stations and other public resorts  which  upon payment of a small fee  would safeguard the nation s health  accommodate its sons  and relieve its daughters ,0,train
293,then she had contrived a method of preserving in sealed tubes the germs of future lord chancellors  or poets or painters or musicians   she went on   supposing  that is to say  that these breeds are not extinct  and that women still wish to bear children        of course we wish to bear children  ,0,train
294,cried castalia  impatiently ,0,train
295,jane rapped the table ,0,train
296, that is the very point we are met to consider   she said ,0,train
297, for five years we have been trying to find out whether we are justified in continuing the human race ,0,train
298,castalia has anticipated our decision ,0,train
299,but it remains for the rest of us to make up our minds  ,0,train
300,here one after another of our messengers rose and delivered their reports ,0,train
301,the marvels of civilisation far exceeded our expectations  and  as we learnt for the first time how man flies in the air  talks across space  penetrates to the heart of an atom  and embraces the universe in his speculations  a murmur of admiration burst from our lips ,0,train
302, we are proud   we cried   that our mothers sacrificed their youth in such a cause as this  ,0,train
303,castalia  who had been listening intently  looked prouder than all the rest ,0,val
304,then jane reminded us that we had still much to learn  and castalia begged us to make haste ,0,train
305,on we went through a vast tangle of statistics ,0,train
306,we learnt that england has a population of so many millions  and that such and such a proportion of them is constantly hungry and in prison  that the average size of a working man s family is such  and that so great a percentage of women die from maladies incident to childbirth ,0,train
307,reports were read of visits to factories  shops  slums  and dockyards ,0,train
308,descriptions were given of the stock exchange  of a gigantic house of business in the city  and of a government office ,0,test
309,the british colonies were now discussed  and some account was given of our rule in india  africa and ireland ,0,train
310,i was sitting by castalia and i noticed her uneasiness ,0,train
311, we shall never come to any conclusion at all at this rate   she said ,0,train
312, as it appears that civilisation is so much more complex than we had any notion  would it not be better to confine ourselves to our original enquiry ,0,train
313,we agreed that it was the object of life to produce good people and good books ,0,train
314,all this time we have been talking of aeroplanes  factories  and money ,0,val
315,let us talk about men themselves and their arts  for that is the heart of the matter  ,0,train
316,so the diners out stepped forward with long slips of paper containing answers to their questions ,0,train
317,these had been framed after much consideration ,0,val
318,a good man  we had agreed  must at any rate be honest  passionate  and unworldly ,0,val
319,but whether or not a particular man possessed those qualities could only be discovered by asking questions  often beginning at a remote distance from the centre ,0,train
320,is kensington a nice place to live in ,0,train
321,where is your son being educated  and your daughter ,0,train
322,now please tell me  what do you pay for your cigars ,0,train
323,by the way  is sir joseph a baronet or only a knight ,0,test
324,often it seemed that we learnt more from trivial questions of this kind than from more direct ones ,0,train
325, i accepted my peerage   said lord bunkum   because my wife wished it  ,0,test
326,i forget how many titles were accepted for the same reason ,0,val
327, working fifteen hours out of the twenty four  as i do      ten thousand professional men began ,0,train
328, no  no  of course you can neither read nor write ,0,train
329,but why do you work so hard  ,0,train
330, my dear lady  with a growing family       but  why  does your family grow  ,0,train
331,their wives wished that too  or perhaps it was the british empire ,0,train
332,but more significant than the answers were the refusals to answer ,0,train
333,very few would reply at all to questions about morality and religion  and such answers as were given were not serious ,0,train
334,questions as to the value of money and power were almost invariably brushed aside  or pressed at extreme risk to the asker ,0,train
335, i m sure   said jill   that if sir harley tightboots hadn t been carving the mutton when i asked him about the capitalist system he would have cut my throat ,0,train
336,the only reason why we escaped with our lives over and over again is that men are at once so hungry and so chivalrous ,0,train
337,they despise us too much to mind what we say  ,0,train
338, of course they despise us   said eleanor ,0,test
339, at the same time how do you account for this  i made enquiries among the artists ,0,train
340,now  no woman has ever been an artist  has she  poll  ,0,val
341, jane austen charlotte bront  george eliot   cried poll  like a man crying muffins in a back street ,0,train
342, damn the woman  ,0,train
343,someone exclaimed ,0,train
344, what a bore she is  ,0,val
345, since sappho there has been no female of first rate      eleanor began  quoting from a weekly newspaper ,0,train
346, it s now well known that sappho was the somewhat lewd invention of professor hobkin   ruth interrupted ,0,train
347, anyhow  there is no reason to suppose that any woman ever has been able to write or ever will be able to write   eleanor continued ,0,train
348, and yet  whenever i go among authors they never cease to talk to me about their books ,0,test
349,masterly ,0,test
350,i say  or shakespeare himself ,0,test
351, for one must say something  and i assure you  they believe me  ,0,val
352, that proves nothing   said jane ,0,test
353, they all do it ,0,test
354,only   she sighed   it doesn t seem to help  us  much ,0,train
355,perhaps we had better examine modern literature next ,0,train
356,liz  it s your turn  ,0,train
357,elizabeth rose and said that in order to prosecute her enquiry she had dressed as a man and been taken for a reviewer ,0,test
358, i have read new books pretty steadily for the past five years   said she ,0,val
359, mr  wells is the most popular living writer  then comes mr  arnold bennett  then mr  compton mackenzie  mr  mckenna and mr  walpole may be bracketed together  ,0,train
360,she sat down ,0,test
361, but you ve told us nothing  ,0,val
362,we expostulated ,0,test
363, or do you mean that these gentlemen have greatly surpassed jane elliot and that english fiction is    where s that review of yours ,0,train
364,oh  yes   safe in their hands   ,0,train
365, safe  quite safe   she said  shifting uneasily from foot to foot ,0,val
366, and i m sure that they give away even more than they receive  ,0,train
367,we were all sure of that ,0,train
368, but   we pressed her   do they write good books  ,0,val
369, good books  ,0,train
370,she said  looking at the ceiling ,0,train
371, you must remember   she began  speaking with extreme rapidity   that fiction is the mirror of life ,0,test
372,and you can t deny that education is of the highest importance  and that it would be extremely annoying  if you found yourself alone at brighton late at night  not to know which was the best boarding house to stay at  and suppose it was a dripping sunday evening  wouldn t it be nice to go to the movies  ,0,test
373, but what has that got to do with it  ,0,train
374,we asked ,0,test
375, nothing  nothing  nothing whatever   she replied ,0,train
376, well  tell us the truth   we bade her ,0,train
377, the truth ,0,train
378,but isn t it wonderful   she broke off   mr  chitter has written a weekly article for the past thirty years upon love or hot buttered toast and has sent all his sons to eton        the truth  ,0,train
379,we demanded ,0,train
380, oh  the truth   she stammered   the truth has nothing to do with literature   and sitting down she refused to say another word ,0,val
381,it all seemed to us very inconclusive ,0,train
382, ladies  we must try to sum up the results   jane was beginning  when a hum  which had been heard for some time through the open window  drowned her voice ,0,test
383, war ,0,val
384,war ,0,test
385,war ,0,train
386,declaration of war  ,0,train
387,men were shouting in the street below ,0,train
388,we looked at each other in horror ,0,val
389, what war  ,0,train
390,we cried ,0,train
391, what war  ,0,val
392,we remembered  too late  that we had never thought of sending anyone to the house of commons ,0,train
393,we had forgotten all about it ,0,train
394,we turned to poll  who had reached the history shelves in the london library  and asked her to enlighten us ,0,train
395, why   we cried   do men go to war  ,0,train
396, sometimes for one reason  sometimes for another   she replied calmly ,0,test
397, in       for example      the shouts outside drowned her words ,0,train
398, again in       in       it was the austrians in            was the franco prussian  in      on the other hand        but it s now       ,0,train
399,we cut her short ,0,train
400, ah  i don t know what they re going to war for now   she admitted ,0,train
401,                                   the war was over and peace was in process of being signed  when i once more found myself with castalia in the room where our meetings used to be held ,0,train
402,we began idly turning over the pages of our old minute books ,0,train
403, queer   i mused   to see what we were thinking five years ago  ,0,train
404, we are agreed   castalia quoted  reading over my shoulder   that it is the object of life to produce good people and good books  ,0,train
405,we made no comment upon  that  ,0,train
406, a good man is at any rate honest  passionate and unworldly  ,0,test
407, what a woman s language  ,0,test
408,i observed ,0,test
409, oh  dear   cried castalia  pushing the book away from her   what fools we were ,0,train
410,it was all poll s father s fault   she went on ,0,test
411, i believe he did it on purpose  that ridiculous will  i mean  forcing poll to read all the books in the london library ,0,test
412,if we hadn t learnt to read   she said bitterly   we might still have been bearing children in ignorance and that i believe was the happiest life after all ,0,val
413,i know what you re going to say about war   she checked me   and the horror of bearing children to see them killed  but our mothers did it  and their mothers  and their mothers before them ,0,train
414,and  they  didn t complain ,0,train
415,they couldn t read ,0,val
416,i ve done my best   she sighed   to prevent my little girl from learning to read  but what s the use ,0,train
417,i caught ann only yesterday with a newspaper in her hand and she was beginning to ask me if it was  true  ,0,val
418,next she ll ask me whether mr  lloyd george is a good man  then whether mr  arnold bennett is a good novelist  and finally whether i believe in god ,0,train
419,how can i bring my daughter up to believe in nothing  ,0,test
420,she demanded ,0,train
421, surely you could teach her to believe that a man s intellect is  and always will be  fundamentally superior to a woman s  ,0,train
422,i suggested ,0,train
423,she brightened at this and began to turn over our old minutes again ,0,test
424, yes   she said   think of their discoveries  their mathematics  their science  their philosophy  their scholarship      and then she began to laugh   i shall never forget old hobkin and the hairpin   she said  and went on reading and laughing and i thought she was quite happy  when suddenly she drew the book from her and burst out   oh  cassandra  why do you torment me ,0,val
425,don t you know that our belief in man s intellect is the greatest fallacy of them all  ,0,train
426, what  ,0,val
427,i exclaimed ,0,train
428, ask any journalist  schoolmaster  politician or public house keeper in the land and they will all tell you that men are much cleverer than women  ,0,test
429, as if i doubted it   she said scornfully ,0,train
430, how could they help it ,0,train
431,haven t we bred them and fed and kept them in comfort since the beginning of time so that they may be clever even if they re nothing else ,0,test
432,it s all our doing  ,0,train
433,she cried ,0,train
434, we insisted upon having intellect and now we ve got it ,0,test
435,and it s intellect   she continued   that s at the bottom of it ,0,train
436,what could be more charming than a boy before he has begun to cultivate his intellect ,0,train
437,he is beautiful to look at  he gives himself no airs  he understands the meaning of art and literature instinctively  he goes about enjoying his life and making other people enjoy theirs ,0,train
438,then they teach him to cultivate his intellect ,0,train
439,he becomes a barrister  a civil servant  a general  an author  a professor ,0,val
440,every day he goes to an office ,0,test
441,every year he produces a book ,0,train
442,he maintains a whole family by the products of his brain  poor devil ,0,train
443,soon he cannot come into a room without making us all feel uncomfortable  he condescends to every woman he meets  and dares not tell the truth even to his own wife  instead of rejoicing our eyes we have to shut them if we are to take him in our arms ,0,test
444,true  they console themselves with stars of all shapes  ribbons of all shades  and incomes of all sizes  but what is to console us ,0,train
445,that we shall be able in ten years  time to spend a week end at lahore ,0,test
446,or that the least insect in japan has a name twice the length of its body ,0,train
447,oh  cassandra  for heaven s sake let us devise a method by which men may bear children ,0,train
448,it is our only chance ,0,train
449,for unless we provide them with some innocent occupation we shall get neither good people nor good books  we shall perish beneath the fruits of their unbridled activity  and not a human being will survive to know that there once was shakespeare  ,0,val
450, it is too late   i replied ,0,train
451, we cannot provide even for the children that we have  ,0,train
452, and then you ask me to believe in intellect   she said ,0,val
453,while we spoke  men were crying hoarsely and wearily in the street  and  listening  we heard that the treaty of peace had just been signed ,0,train
454,the voices died away ,0,train
455,the rain was falling and interfered no doubt with the proper explosion of the fireworks ,0,val
456, my cook will have bought the evening news   said castalia   and ann will be spelling it out over her tea ,0,test
457,i must go home  ,0,test
458, it s no good  not a bit of good   i said ,0,train
459, once she knows how to read there s only one thing you can teach her to believe in  and that is herself  ,0,val
460, well  that would be a change   sighed castalia ,0,train
461,so we swept up the papers of our society  and  though ann was playing with her doll very happily  we solemnly made her a present of the lot and told her we had chosen her to be president of the society of the future  upon which she burst into tears  poor little girl ,0,val
462,monday or tuesday   lazy and indifferent  shaking space easily from his wings  knowing his way  the heron passes over the church beneath the sky ,0,test
463,white and distant  absorbed in itself  endlessly the sky covers and uncovers  moves and remains ,0,test
464,a lake ,0,test
465,blot the shores of it out ,0,train
466,a mountain ,0,train
467,oh  perfect  the sun gold on its slopes ,0,val
468,down that falls ,0,val
469,ferns then  or white feathers  for ever and ever      desiring truth  awaiting it  laboriously distilling a few words  for ever desiring   a cry starts to the left  another to the right ,0,train
470,wheels strike divergently ,0,train
471,omnibuses conglomerate in conflict   for ever desiring   the clock asseverates with twelve distinct strokes that it is midday  light sheds gold scales  children swarm   for ever desiring truth ,0,train
